questions,answer
Hi,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Hello,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
hi,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
hello,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Hey,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Hi there,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Greetings,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Hey there,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Hello there,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
Good Morning,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
good morning,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
good day,"Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
"Hi, how are you?","Hello! I am NYP's PEM Chatbot and I am here to assist your enquires regarding school related matters! However if there are questions that I cannot answer, you should seek assistance by calling us tel:+6564515115 or contact your Personal Mentor (PEM)."
